data;otwarcie;zamkniecie;maks;min;obrot;zmiana
01.03.2021;237.4;240.3;241;225.2;253.2;1.56
02.03.2021;249.6;236.6;249.9;234.2;354.91;-5.96
03.03.2021;255;251.6;256;249.1;193.65;-2.56
24.02.2021;258.2;258.2;262.3;256;88.58;0.19
23.02.2021;259;257.7;261.1;250.1;142.56;-0.15
22.02.2021;266.4;258.1;268.2;258;122.44;-2.75
19.02.2021;275;265.4;278.9;264.7;116.01;-3.49
18.02.2021;271.3;275;283.5;269.2;137.9;1.36
17.02.2021;272.1;271.3;272.5;268.1;79.36;0.44
16.02.2021;271;270.1;273.2;266.7;88.21;0.04
15.02.2021;260;270;270.6;258.3;72.53;2.66
12.02.2021;269.1;263;269.7;260.3;96.92;-2.77
11.02.2021;268.5;270.5;271.4;268;94.71;0.37
10.02.2021;268.9;269.5;275.5;264.4;177.48;-0.19
09.02.2021;287;270;288.2;268.4;306.99;-5.69
08.02.2021;297;286.3;297.8;286.3;140.6;-2.42
05.02.2021;293.2;293.4;297.9;288.2;127.08;0.82
04.02.2021;288.1;291;298.8;288.1;117.97;1.04
03.02.2021;284;288;295.6;283.4;199.62;1.66
02.02.2021;305.5;283.3;305.9;282.4;400.28;-7.36
01.02.2021;305.5;305.8;316;291.3;307.85;0.2
29.01.2021;354;305.2;358;297.7;959.73;-16.38
28.01.2021;311.2;365;376.5;299.1;2350.69;15.58
27.01.2021;308;315.8;345;308;1913.04;5.27
26.01.2021;273.1;300;300;273.1;779.18;8.81
25.01.2021;252;275.7;276.6;250.3;427.09;10.24
22.01.2021;252;250.1;257;249.9;131.02;-1.22
21.01.2021;255;253.2;260.5;251.6;231.13;0.2
20.01.2021;247;252.7;255.7;239;183.2;1.81
19.01.2021;255.3;248.2;257;242.8;186.52;-2.09
18.01.2021;257;253.5;258.2;249.3;121.28;-1.05
15.01.2021;265;256.2;267.2;251.1;196.08;-3.32
14.01.2021;253.4;265;277.1;251.3;339;6.04
13.01.2021;248.5;249.9;253.5;247.1;163.6;0.56
12.01.2021;246;248.5;252.9;243;162.24;1.02
11.01.2021;240;246;257;240;198.41;2.54
08.01.2021;250.2;239.9;253.4;234.2;367.23;-3.27
07.01.2021;267;248;267.1;248;386.07;-6.66
05.01.2021;275.6;265.7;275.6;263.6;243.79;-3.87
04.01.2021;276.5;276.4;279;268.1;190.64;0.62
31.12.2020;274.7;274.7;274.7;274.7;0;0
30.12.2020;280.5;274.7;280.5;270.4;179.23;-2.07
29.12.2020;279.5;280.5;285.2;274.4;192.97;2.37
28.12.2020;265;274;274;257.1;277.11;1.86
24.12.2020;269;269;269;269;0;0
23.12.2020;275;269;275.6;252;381.97;0.49
22.12.2020;262.6;267.7;275.9;262;400.54;4.57
21.12.2020;260;256;265.3;248;688.12;-5.67
18.12.2020;260;271.4;272.6;242.5;1417.57;-12.23
17.12.2020;305;309.2;313.9;305;332;3.07
16.12.2020;299.3;300;304;290;334.45;0
15.12.2020;303.8;300;316.8;294;806.72;1.32
14.12.2020;265;296.1;298;238.5;1477.54;-7.61
11.12.2020;358.8;320.5;358.8;308.3;1287.92;-11.46
10.12.2020;391.5;362;401.1;358.3;764.97;-8.54
09.12.2020;399.7;395.8;412.1;383.2;561.75;0.2
08.12.2020;400;395;410.4;385;745.32;-7.08
07.12.2020;446.5;425.1;464.2;401.9;628.67;-4.04
04.12.2020;422.8;443;443.5;422.5;204.41;5.23
03.12.2020;426;421;428;418;203.99;-0.94
02.12.2020;411.2;425;426;404.7;235.02;4.68
01.12.2020;392.4;406;418.2;392.4;382.52;4.24
30.11.2020;366;389.5;391.2;366;405.95;7.39
27.11.2020;359;362.7;364;352.6;136.87;1.06
26.11.2020;369;358.9;377.5;358;181.96;-1.4
25.11.2020;372.2;364;373.5;363.1;126.64;-1.91
24.11.2020;375;371.1;377;365.5;103.02;-0.4
23.11.2020;377.5;372.6;389;372;123.7;0.11
20.11.2020;368.1;372.2;376.1;368;110.05;1.14
19.11.2020;374;368;374;365.5;124.46;-1.74
18.11.2020;371;374.5;378.8;370;115.9;1.33
17.11.2020;360;369.6;371;359.2;107.36;2.55
16.11.2020;370;360.4;371.9;360.4;112.29;-0.83
13.11.2020;372.5;363.4;372.5;363.1;104.81;-2.42
12.11.2020;371;372.4;378.4;367.2;165.33;1.83
10.11.2020;375;365.7;378.7;353.5;296.7;-1.53
09.11.2020;389;371.4;401.1;369.1;372.18;-3.05
06.11.2020;373;383.1;389;371.5;143.18;3.23
05.11.2020;387.9;371.1;396.2;370;293.76;-2.65
04.11.2020;365;381.2;386.9;359.8;283.4;4.44
03.11.2020;347.5;365;366.5;343;208.2;6.51
02.11.2020;343.6;342.7;348.8;341.4;159.81;2.18
30.10.2020;351.7;335.4;352;333.3;197.5;-5.25
29.10.2020;336;354;356.5;334;264.97;6.95
28.10.2020;349;331;353.9;320;533.78;-9.09
27.10.2020;363.2;364.1;380;362.6;254.55;1.14
26.10.2020;354.5;360;365.6;354;135.64;1.84
23.10.2020;367.4;353.5;370.1;352.7;279.16;-3.57
22.10.2020;360;366.6;376.5;358;123.02;0.22
21.10.2020;367.2;365.8;369.4;354.7;247.78;-0.57
20.10.2020;372;367.9;378;362.2;179.32;-1.1
19.10.2020;381.6;372;384;372;116.94;-1.74
16.10.2020;378;378.6;390;378;240.71;0.96
15.10.2020;386.4;375;387.5;373.3;117.74;-3.6
14.10.2020;383;389;397.7;380.1;165.99;1.57
13.10.2020;371;383;384.2;367;107.41;3.23
12.10.2020;378;371;382.7;371;161.55;-1.9
09.10.2020;389.9;378.2;389.9;373.5;138.97;-2.75
08.10.2020;381.2;388.9;388.9;379.9;140.43;3.13
07.10.2020;375.3;377.1;379.8;365.7;197.95;0.61
06.10.2020;400;374.8;400.8;373;305.32;-5.99
05.10.2020;403;398.7;410.5;395.1;156.3;0.38
02.10.2020;390.1;397.2;400.5;384.1;298.43;3.82
01.10.2020;416.9;382.6;416.9;377;459.11;-8.56
30.09.2020;425;418.4;430.4;418.4;181.32;-3.01
29.09.2020;429.9;431.4;434.7;424.5;134.24;0.42
28.09.2020;414;429.6;429.6;413.3;133.5;4.78
25.09.2020;404.6;410;410;400.1;114.11;1.84
24.09.2020;404;402.6;409.4;398.3;215.8;-1.08
23.09.2020;400.9;407;409.4;400.9;130.35;1.52
22.09.2020;391.3;400.9;407.9;390.2;223.29;4.05
21.09.2020;402;385.3;409.2;385.3;166.11;-4.18
18.09.2020;405;402.1;411.3;402.1;278.46;-0.47
17.09.2020;402;404;406.2;396.8;132.28;-0.32
16.09.2020;405.6;405.3;412.9;401.5;140.29;0.57
15.09.2020;417.2;403;417.2;400.5;182.84;-3.43
14.09.2020;433;417.3;434.5;417.3;258.86;-3
11.09.2020;430;430.2;433;427.1;181.81;0.28
10.09.2020;431.3;429;433.3;427.8;197.98;-0.69
09.09.2020;433;432;434.3;426.6;180.64;-0.32
08.09.2020;440;433.4;440.3;428.2;167.84;-0.73
07.09.2020;430.1;436.6;439.1;425.7;66.38;2.01
04.09.2020;419.8;428;435.9;411.6;349.63;-0.6
03.09.2020;443.4;430.6;446.8;429.8;132.64;-2.11
02.09.2020;439.1;439.9;451;438.1;74.27;-0.18
01.09.2020;438.5;440.7;447.8;436.4;123.83;0.5
31.08.2020;446;438.5;449.9;435;147.34;-1.68
28.08.2020;455.3;446;458.3;443.8;158.77;-3.21
27.08.2020;435;460.8;462;433.1;287.07;5.45
26.08.2020;409.5;437;437.7;407.8;106.49;7.11
25.08.2020;414;408;416;407;103.14;-1.59
24.08.2020;414.2;414.6;419.1;411.8;77.61;1.32
21.08.2020;413.5;409.2;415.4;409;73.55;0.15
20.08.2020;414;408.6;414;404.6;56.79;-1.54
19.08.2020;406;415;415;404;78.29;2.14
18.08.2020;408;406.3;409.6;401.4;99.33;-0.42
17.08.2020;410.7;408;415;407.4;132.03;-0.66
14.08.2020;409.8;410.7;415.9;407;69.86;0
13.08.2020;418;410.7;419.9;410.7;127.96;-1.75
12.08.2020;416.6;418;420.4;410;95.42;0.34
11.08.2020;427.2;416.6;429.6;412.2;94.02;-2.07
10.08.2020;427;425.4;435;424.2;116.33;-0.37
07.08.2020;412;427;431.6;410.2;144.91;3.52
06.08.2020;411.5;412.5;417.6;407.6;97.38;0.61
05.08.2020;416.8;410;419.5;408.4;141.32;-1.8
04.08.2020;419;417.5;423;414.2;296.7;0.12
03.08.2020;400;417;418.8;399.4;280.09;3.73
31.07.2020;399.6;402;404.8;398.1;95.5;0.88
30.07.2020;406;398.5;410.8;397.9;253.78;-0.62
29.07.2020;393.5;401;403.6;391.2;229.15;1.47
28.07.2020;397.6;395.2;398;390.2;113.28;-1
27.07.2020;388;399.2;401.2;383.1;198.52;2.89
24.07.2020;382.1;388;388.8;379.2;165.73;0.13
23.07.2020;385.1;387.5;389.7;382.1;127.09;1.17
22.07.2020;381.3;383;386;375;114.42;0.52
21.07.2020;397;381;398;380;157.9;-3.08
20.07.2020;372;393.1;393.3;371.9;119.9;5.96
17.07.2020;369.4;371;371.6;366.2;81.24;0.73
16.07.2020;366;368.3;370.5;361.6;79.48;0.9
15.07.2020;357.4;365;379.2;357.4;207.99;3.14
14.07.2020;366.9;353.9;367.9;351.1;223.11;-4.22
13.07.2020;383;369.5;385.4;368.7;169.09;-2.76
10.07.2020;381.3;380;386;379;148.96;-1.53
09.07.2020;399.2;385.9;400.9;385.9;171.52;-3.31
08.07.2020;404.4;399.1;405.1;396.9;72.99;-1.31
07.07.2020;405;404.4;407.4;400.4;76.04;-0.15
06.07.2020;409.8;405;410.5;403.9;65.79;-0.25
03.07.2020;407;406;409.8;403.8;44.06;0.27
02.07.2020;404.9;404.9;408.6;400.9;86.67;0.42
01.07.2020;395.5;403.2;404.1;390;89.45;2.1
30.06.2020;400;394.9;405.2;393.8;117.11;-1.67
29.06.2020;394;401.6;402.9;390;116.98;1.59
26.06.2020;415;395.3;416.5;395;216.08;-4.19
25.06.2020;408;412.6;412.6;405;92.57;1.23
24.06.2020;410;407.6;412.9;405;78.43;0.89
23.06.2020;407.3;404;412;400.2;97.59;-0.76
22.06.2020;390;407.1;409;388;184.11;3.67
19.06.2020;373.4;392.7;393.9;373.3;332.12;1.39
18.06.2020;387.4;387.3;396.5;386.2;72.39;-0.03
17.06.2020;383.8;387.4;391.4;377.5;105.34;2.14
16.06.2020;377.8;379.3;385.5;375.4;58.05;1.66
15.06.2020;375;373.1;381.8;373;112.87;-1.63
12.06.2020;378.1;379.3;388.7;371.9;127.12;-1.71
11.06.2020;385.9;385.9;385.9;385.9;0;0
09.06.2020;372;385.9;385.9;352.2;145.55;4.07
08.06.2020;386.1;370.8;388.5;370.8;174.3;-5.07
05.06.2020;394.5;390.6;396;388.5;149.53;-0.51
04.06.2020;386.6;392.6;394.3;386;113.26;1.16
03.06.2020;390;388.1;398;386;107.45;-0.03
02.06.2020;396;388.2;397.4;385.5;188.16;-2.19
01.06.2020;405;396.9;407.7;394.7;84.29;-1.71
29.05.2020;411;403.8;412.9;393.1;340.29;1.2
28.05.2020;389.1;399;399.7;385.3;147.31;4.59
27.05.2020;413;381.5;413.5;381;279.25;-7.63
26.05.2020;400;413;417.7;398;176.36;3.9
25.05.2020;395.4;397.5;403.1;395.4;45.83;1.04
22.05.2020;390;393.4;396.9;388.8;88.36;0.2
21.05.2020;394.8;392.6;400.2;391.4;127.77;-0.61
20.05.2020;381.8;395;397.4;380.2;127.83;4.03
19.05.2020;388.1;379.7;389;377.7;94.28;-1.43
18.05.2020;375.4;385.2;385.2;371;93.02;3.8
15.05.2020;370.1;371.1;374.6;366.3;88.9;0.3
14.05.2020;377.1;370;378.6;364.2;126.88;-2.5
13.05.2020;371;379.5;379.6;370.4;103.97;1.8
12.05.2020;360.8;372.8;375.9;360.5;156.32;2.7
11.05.2020;358;363;363.6;354.1;85.44;2.28
08.05.2020;359.2;354.9;359.7;352.5;68.25;-0.2
07.05.2020;360;355.6;363.2;354.1;70.58;-1.22
06.05.2020;361.5;360;363.6;356.3;155.87;0.7
05.05.2020;360.3;357.5;361;351.2;73.24;-0.11
04.05.2020;351;357.9;365;348.6;88.17;0.08
30.04.2020;362.7;357.6;367.5;351.4;116.48;-1
29.04.2020;359.1;361.2;365.1;353.4;92.31;0.58
28.04.2020;368.3;359.1;372.4;358.3;119.76;-2.42
27.04.2020;367.5;368;374;366.1;121.31;1.27
24.04.2020;351.6;363.4;373.4;344;162.26;2.45
23.04.2020;343;354.7;354.7;342;106.1;2.22
22.04.2020;336;347;347;334;89.17;3.27
21.04.2020;342.6;336;344.2;336;63.53;-2.67
20.04.2020;339;345.2;346;335;76.24;1.68
17.04.2020;338.3;339.5;344.2;337;79.25;1.59
16.04.2020;342.8;334.2;344.6;332.7;140.71;-2.34
15.04.2020;343.7;342.2;344.9;338.3;195.27;0.06
14.04.2020;331;342;342.8;324.6;139.49;3.95
13.04.2020;329;329;329;329;0;0
10.04.2020;329;329;329;329;0;0
09.04.2020;331;329;333.9;319.7;225.58;6.51
08.04.2020;295;308.9;311.8;293;92.37;2.05
07.04.2020;329;302.7;331.6;302.7;178.86;-4.87
06.04.2020;305;318.2;318.7;304.3;124.34;7.14
03.04.2020;289;297;297.8;285.1;121.19;3.2
02.04.2020;282.1;287.8;287.8;276.5;81.68;2.02
01.04.2020;283.5;282.1;287.9;279;76.06;-2.42
31.03.2020;283;289.1;289.9;281.2;102.16;2.92
30.03.2020;280;280.9;280.9;273.2;77.69;0.68
27.03.2020;282.5;279;283.8;274.6;79.41;-0.75
26.03.2020;275.9;281.1;281.8;273.5;82.21;1.26
25.03.2020;284;277.6;287.7;272;107.09;0.36
24.03.2020;277.1;276.6;280.6;268.3;118.74;4.3
23.03.2020;257.1;265.2;272;250;115.84;-0.49
20.03.2020;281;266.5;283.3;256.4;252.87;-2.56
19.03.2020;258.3;273.5;273.5;256.5;136.16;5.88
18.03.2020;269.5;258.3;281.2;255.3;189.22;-3.83
17.03.2020;262;268.6;272.8;255.2;229.68;6.59
16.03.2020;235.9;252;272;222;234.59;3.32
13.03.2020;230;243.9;253;223.8;297.58;-9.77
12.03.2020;270.3;270.3;270.3;270.3;0;0
11.03.2020;270.3;270.3;270.3;270.3;0;0
10.03.2020;275;270.3;280;268;124.56;0.11
09.03.2020;266;270;284;259.5;191.21;-7.91
06.03.2020;294.6;293.2;294.9;283;104.89;-1.48
05.03.2020;303;297.6;305.5;294.2;90.58;0.68
04.03.2020;300.3;295.6;304.4;292.5;123.1;-3.34
03.03.2020;295;305.8;306.9;290.2;223.74;7.52
02.03.2020;287.9;284.4;298;272;191.86;2.12
28.02.2020;276;278.5;286;261.6;306.06;-4.79
27.02.2020;308;292.5;311;290.7;137.63;-4.97
26.02.2020;301.6;307.8;316.6;297;161.05;0.16
25.02.2020;316.2;307.3;321.7;305.3;191.58;-4.03
24.02.2020;327.6;320.2;330;319;129.25;-3.26
21.02.2020;328;331;334;326.6;67.15;0.76
20.02.2020;330.6;328.5;331.9;326.6;64.9;-0.7
19.02.2020;330;330.8;331.9;325.7;100.81;0.55
18.02.2020;325.4;329;330.8;323;37.47;0.92
17.02.2020;327.6;326;336;323.6;56.24;0
14.02.2020;319.3;326;326.8;317.5;128.44;2.29
13.02.2020;313.1;318.7;318.7;312.2;80.24;1.76
12.02.2020;311;313.2;315.8;308.4;73.26;0.87
11.02.2020;313;310.5;317;310.5;67.83;-0.06
10.02.2020;310.9;310.7;313.4;310;38.03;0.62
07.02.2020;313.3;308.8;316.8;307.4;72.86;-1.56
06.02.2020;309.5;313.7;314.5;305.7;103.05;1.85
05.02.2020;303;308;320.6;302.3;246.49;0.98
04.02.2020;293.5;305;305;290.3;200.23;3.92
03.02.2020;280.6;293.5;293.5;279.5;170.09;4.23
31.01.2020;278;281.6;281.6;274.5;155.04;1.33
30.01.2020;277;277.9;278.4;274;92.76;0.22
29.01.2020;277;277.3;277.9;274.2;110.01;0.36
