"Data","Ostatnio","otwarcie","Max.","Min.","Wol.","Zmiana%"
"19.03.2021","226,40","223,80","226,40","220,40","29,15K","0,71%"
"18.03.2021","224,80","227,20","231,60","223,80","20,97K","-1,32%"
"17.03.2021","227,80","225,60","228,00","217,20","56,59K","0,89%"
"16.03.2021","225,80","234,80","234,80","224,60","49,80K","-3,91%"
"15.03.2021","235,00","235,00","238,00","232,60","38,91K","0,00%"
"12.03.2021","235,00","231,00","237,40","229,60","32,65K","1,91%"
"11.03.2021","230,60","238,00","240,80","227,80","42,40K","-3,19%"
"10.03.2021","238,20","243,00","246,40","236,60","33,25K","-1,98%"
"09.03.2021","243,00","237,60","244,00","237,20","75,57K","1,50%"
"08.03.2021","239,40","237,00","240,80","234,20","63,71K","0,59%"
"05.03.2021","238,00","235,00","239,60","233,80","50,40K","-0,08%"
"04.03.2021","238,20","234,60","240,00","230,00","47,43K","0,42%"
"03.03.2021","237,20","234,80","242,00","233,20","80,73K","0,51%"
"02.03.2021","236,00","234,00","240,20","229,60","41,88K","0,68%"
"01.03.2021","234,40","222,40","234,40","221,60","115,10K","5,78%"
"26.02.2021","221,60","219,60","224,00","215,00","58,26K","-1,42%"
"25.02.2021","224,80","225,00","227,20","220,00","63,59K","0,54%"
"24.02.2021","223,60","214,20","226,20","214,20","79,63K","3,23%"
"23.02.2021","216,60","214,40","220,00","212,00","59,23K","-0,82%"
"22.02.2021","218,40","219,60","220,00","214,40","38,57K","-0,73%"
"19.02.2021","220,00","220,20","222,60","214,40","93,74K","-1,35%"
"18.02.2021","223,00","225,40","231,40","220,40","59,81K","-0,98%"
"17.02.2021","225,20","223,20","233,00","212,80","167,92K","0,90%"
"16.02.2021","223,20","198,60","224,40","198,10","247,10K","11,77%"
"15.02.2021","199,70","187,70","199,70","186,70","59,65K","7,37%"
"12.02.2021","186,00","189,20","189,60","184,40","43,02K","-1,90%"
"11.02.2021","189,60","188,00","190,00","184,00","54,41K","0,85%"
"10.02.2021","188,00","193,20","194,90","185,50","57,27K","-2,64%"
"09.02.2021","193,10","197,00","197,00","191,00","46,75K","-1,18%"
"08.02.2021","195,40","195,20","199,00","193,40","56,87K","0,26%"
"05.02.2021","194,90","195,00","202,60","193,70","79,53K","-0,05%"
"04.02.2021","195,00","195,80","198,60","192,60","20,82K","-1,61%"
"03.02.2021","198,20","200,00","202,40","195,60","59,65K","-0,30%"
"02.02.2021","198,80","196,00","199,80","194,00","75,35K","1,64%"
"01.02.2021","195,60","199,20","199,20","193,70","51,38K","0,00%"
"29.01.2021","195,60","194,00","201,80","193,50","102,89K","0,93%"
"28.01.2021","193,80","191,00","196,50","183,30","108,71K","1,10%"
"27.01.2021","191,70","202,20","205,40","189,10","69,09K","-5,94%"
"26.01.2021","203,80","200,20","206,00","194,20","85,25K","1,39%"
"25.01.2021","201,00","207,00","207,00","198,10","68,34K","-3,27%"
"22.01.2021","207,80","206,40","209,00","203,20","32,61K","-0,29%"
"21.01.2021","208,40","210,00","211,20","203,20","45,88K","-0,86%"
"20.01.2021","210,20","208,00","213,80","206,40","82,32K","-0,66%"
"19.01.2021","211,60","210,60","215,00","208,20","70,86K","0,57%"
"18.01.2021","210,40","205,00","211,40","205,00","112,12K","2,83%"
"15.01.2021","204,60","211,40","217,00","203,40","78,96K","-3,22%"
"14.01.2021","211,40","205,00","213,60","204,00","72,72K","4,04%"
"13.01.2021","203,20","210,80","210,80","202,00","78,09K","-3,15%"
"12.01.2021","209,80","218,60","225,60","205,60","115,39K","-4,03%"
"11.01.2021","218,60","214,00","228,60","212,20","126,60K","3,11%"
"08.01.2021","212,00","200,00","217,60","200,00","140,36K","6,53%"
"07.01.2021","199,00","190,00","199,00","187,40","119,20K","6,99%"
"05.01.2021","186,00","186,60","189,40","182,00","50,86K","-0,32%"
"04.01.2021","186,60","180,00","189,50","179,80","97,29K","4,13%"
"30.12.2020","179,20","188,80","188,80","178,70","83,43K","-5,13%"
"29.12.2020","188,90","188,20","189,90","185,00","61,34K","1,23%"
"28.12.2020","186,60","180,00","186,70","180,00","76,31K","4,89%"
"23.12.2020","177,90","173,40","177,90","173,40","52,44K","3,49%"
"22.12.2020","171,90","172,00","177,60","171,40","46,23K","-0,06%"
"21.12.2020","172,00","172,00","172,00","172,00","84,79K","-4,28%"
"18.12.2020","179,70","177,50","183,30","175,00","80,24K","1,18%"
"17.12.2020","177,60","183,50","185,60","173,70","99,64K","-2,42%"
"16.12.2020","182,00","179,80","184,50","176,70","65,42K","3,00%"
"15.12.2020","176,70","174,00","179,90","173,00","52,95K","-0,06%"
"14.12.2020","176,80","181,90","185,30","176,00","53,95K","-1,39%"
"11.12.2020","179,30","185,00","187,00","176,10","117,39K","-2,29%"
"10.12.2020","183,50","191,20","191,70","183,00","93,13K","-2,70%"
"09.12.2020","188,60","177,60","197,50","176,20","214,06K","7,16%"
"08.12.2020","176,00","175,00","178,90","172,00","82,37K","0,23%"
"07.12.2020","175,60","171,00","179,80","169,90","123,14K","3,60%"
"04.12.2020","169,50","156,60","169,50","154,60","105,76K","8,45%"
"03.12.2020","156,30","154,60","158,40","154,00","93,44K","1,10%"
"02.12.2020","154,60","155,20","156,30","151,60","67,12K","0,39%"
"01.12.2020","154,00","152,80","159,00","152,80","67,53K","1,72%"
"30.11.2020","151,40","155,50","156,90","147,70","1,61M","-3,57%"
"27.11.2020","157,00","165,00","165,00","157,00","154,47K","-5,54%"
"26.11.2020","166,20","168,10","169,10","163,80","64,72K","-1,54%"
"25.11.2020","168,80","171,70","172,00","167,70","85,22K","-0,47%"
"24.11.2020","169,60","169,00","173,00","165,00","93,96K","1,01%"
"23.11.2020","167,90","163,60","171,00","163,60","78,87K","3,26%"
"20.11.2020","162,60","167,20","168,80","162,40","94,71K","-2,63%"
"19.11.2020","167,00","166,20","168,40","162,20","75,91K","0,12%"
"18.11.2020","166,80","169,40","170,70","165,70","81,21K","-1,88%"
"17.11.2020","170,00","171,00","171,00","164,20","85,89K","-0,29%"
"16.11.2020","170,50","162,10","172,00","162,10","87,46K","6,10%"
"13.11.2020","160,70","169,00","169,00","160,50","63,16K","-5,02%"
"12.11.2020","169,20","169,00","173,00","161,40","143,03K","0,12%"
"10.11.2020","169,00","158,70","174,50","142,90","265,57K","10,10%"
"09.11.2020","153,50","121,50","153,50","119,90","182,10K","24,09%"
"06.11.2020","123,70","125,60","126,60","119,70","92,77K","-1,12%"
"05.11.2020","125,10","127,50","130,70","125,00","113,98K","-0,32%"
"04.11.2020","125,50","131,00","134,90","122,20","133,98K","-4,92%"
"03.11.2020","132,00","120,00","135,00","118,40","126,81K","13,21%"
"02.11.2020","116,60","117,00","120,80","115,00","76,47K","0,95%"
"30.10.2020","115,50","120,00","121,00","113,50","80,02K","-3,75%"
"29.10.2020","120,00","127,20","129,70","118,00","102,56K","-4,84%"
"28.10.2020","126,10","140,00","140,40","126,00","117,62K","-9,93%"
"27.10.2020","140,00","151,90","154,00","140,00","105,19K","-7,41%"
"26.10.2020","151,20","147,10","152,60","147,10","44,86K","1,96%"
"23.10.2020","148,30","148,00","155,50","148,00","90,43K","-0,13%"
"22.10.2020","148,50","146,60","153,70","145,20","104,57K","1,23%"
"21.10.2020","146,70","153,40","155,80","146,70","75,64K","-4,24%"
"20.10.2020","153,20","150,00","159,90","147,60","94,93K","2,34%"
"19.10.2020","149,70","149,80","153,70","147,60","45,51K","0,88%"
"16.10.2020","148,40","152,00","156,20","146,00","64,54K","-2,05%"
"15.10.2020","151,50","155,00","155,10","149,20","74,30K","-2,95%"
"14.10.2020","156,10","159,80","160,50","150,00","187,63K","-1,51%"
"13.10.2020","158,50","168,00","168,00","158,00","108,59K","-5,65%"
"12.10.2020","168,00","169,30","172,80","166,10","28,18K","-0,59%"
"09.10.2020","169,00","174,90","174,90","167,70","25,81K","-2,09%"
"08.10.2020","172,60","175,00","177,80","170,60","41,13K","-1,37%"
"07.10.2020","175,00","177,00","177,60","170,10","41,93K","-0,79%"
"06.10.2020","176,40","172,80","179,50","172,80","40,86K","2,20%"
"05.10.2020","172,60","169,30","175,10","169,30","26,60K","2,07%"
"02.10.2020","169,10","169,60","171,50","166,40","22,07K","-2,31%"
"01.10.2020","173,10","169,30","173,90","166,60","38,02K","4,03%"
"30.09.2020","166,40","166,50","169,30","165,10","42,20K","-1,25%"
"29.09.2020","168,50","175,30","175,30","168,00","28,04K","-3,88%"
"28.09.2020","175,30","165,70","176,70","164,30","41,25K","6,96%"
"25.09.2020","163,90","173,50","173,50","163,40","62,19K","-5,53%"
"24.09.2020","173,50","171,00","174,30","169,20","42,81K","-0,17%"
"23.09.2020","173,80","180,50","181,10","173,80","24,43K","-1,81%"
"22.09.2020","177,00","178,00","183,60","173,90","33,95K","0,11%"
"21.09.2020","176,80","178,30","178,90","174,10","28,83K","-3,18%"
"18.09.2020","182,60","180,00","182,60","175,20","258,61K","0,77%"
"17.09.2020","181,20","179,70","181,70","175,00","37,76K","0,06%"
"16.09.2020","181,10","183,40","186,10","180,20","21,49K","-1,42%"
"15.09.2020","183,70","181,00","187,00","179,20","27,14K","-0,16%"
"14.09.2020","184,00","188,00","188,00","182,90","29,38K","-1,45%"
