Data,otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2021-03-19,63.12,63.68,64.72,63.08,125.26,-2.24
2021-03-18,65.1,65.14,66.48,64.2,71.44,-0.31
2021-03-17,65.98,65.34,66.16,62.5,202.34,-1.69
2021-03-16,68.42,66.46,69.1,66,95.77,-2.78
2021-03-15,69.1,68.36,70.2,68.32,58.62,-0.18
2021-03-11,69.6,68.48,70.9,67.56,127.11,-1.38
2021-03-10,67.8,69.44,69.88,67.32,165.1,3.55
2021-03-09,66.72,67.06,67.9,66.3,137.44,0.6
2021-03-08,64.9,66.66,67.4,64.6,218.27,4.55
2021-03-05,61.02,63.76,64.9,61.02,198.04,3.71
2021-03-04,60,61.48,61.8,59.6,99.07,2.13
2021-03-03,60.92,60.2,61.74,60.18,72.76,-1.15
2021-03-02,60.4,60.9,61.16,59.7,63.83,0.83
2021-03-01,60,60.4,60.5,59.22,65.9,2.65
2021-02-26,58.26,58.84,59.5,58.1,115.84,-1.8
2021-02-25,61,59.92,61.46,59.9,85,-0.07
2021-02-24,60.02,59.96,60.34,59.24,88.29,0.4
2021-02-23,59.9,59.72,61.44,58.78,83.92,0.34
2021-02-22,60.3,59.52,60.46,59.36,41.67,-1.91
2021-02-19,59.32,60.68,60.92,59.2,67.51,2.81
2021-02-18,61.08,59.02,61.56,59.02,77.14,-3.47
2021-02-17,61.6,61.14,62.3,60.74,71.08,-0.75
2021-02-16,60.78,61.6,61.8,60.4,95.07,2.02
2021-02-15,60.74,60.38,61.24,60,49.02,1.04
2021-02-12,59.44,59.76,59.82,58.36,34.01,0.54
2021-02-11,59.6,59.44,60.2,58.8,55.63,0
2021-02-10,60.86,59.44,61.3,58.76,60.23,-1.62
2021-02-09,60.1,60.42,61.72,59.22,112.59,0.77
2021-02-08,59.42,59.96,60.26,58.4,84.47,2.08
2021-02-05,59.18,58.74,59.88,58.56,43.35,0.44
2021-02-04,60,58.48,60.62,58.48,65.8,-0.75
2021-02-03,59.2,58.92,60,58.24,49.85,-0.2
2021-02-02,58.02,59.04,59.48,57.9,69.03,3.25
2021-02-01,56.5,57.18,58.26,56.24,68.98,2.07
2021-01-29,57.5,56.02,57.58,56,142.61,-3.41
2021-01-28,56.6,58,58.56,56.2,73.57,1.4
2021-01-27,58.7,57.2,59.38,56.9,80.56,-2.39
2021-01-26,57.56,58.6,59.66,56.58,62.77,1.21
2021-01-25,60,57.9,60.22,57.5,60.44,-2.98
2021-01-22,59.5,59.68,60.1,58.1,87.53,-0.73
2021-01-21,60.5,60.12,61.1,59.6,57.31,-0.6
2021-01-20,60.7,60.48,61.2,59.62,52.49,-0.3
2021-01-19,62.4,60.66,62.7,60.5,48.69,-1.69
2021-01-18,59.8,61.7,61.78,58.6,70.86,2.73
2021-01-15,61.48,60.06,61.68,59.28,77.47,-3.04
2021-01-14,61,61.94,62.3,60.2,55.11,0.98
2021-01-13,63.88,61.34,63.94,61.12,75.39,-3.04
2021-01-12,64,63.26,64.5,62.3,87.38,-0.25
2021-01-11,64,63.42,64.2,62.5,75.73,-0.88
2021-01-08,63,63.98,64.98,62.74,129.46,1.72
2021-01-07,61.42,62.9,62.9,60.8,132.49,5.54
2021-01-05,58.7,59.6,60.18,58.1,86.62,1.05
2021-01-04,58.94,58.98,60.62,58.62,61.45,2.18
