"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"23.03.2021","662,16","676,00","677,75","657,51","30,49M","-1,17%"
"22.03.2021","670,00","685,00","699,50","669,33","39,51M","2,31%"
"19.03.2021","654,87","646,60","657,23","624,62","42,89M","0,26%"
"18.03.2021","653,16","684,34","688,60","652,12","33,37M","-6,93%"
"17.03.2021","701,81","654,57","703,60","651,02","40,37M","3,68%"
"16.03.2021","676,88","703,36","707,21","671,21","32,20M","-4,39%"
"15.03.2021","707,94","694,64","712,81","684,07","29,42M","2,05%"
"12.03.2021","693,73","670,00","694,88","666,14","33,58M","-0,84%"
"11.03.2021","699,60","699,50","702,26","677,81","36,25M","4,72%"
"10.03.2021","668,06","702,53","717,39","657,20","60,61M","-0,82%"
"09.03.2021","673,58","608,02","678,00","595,69","67,52M","19,64%"
"08.03.2021","563,00","600,38","619,94","559,01","51,79M","-5,84%"
"05.03.2021","597,95","626,06","627,84","539,49","89,40M","-3,78%"
"04.03.2021","621,44","654,00","668,43","600,00","65,92M","-4,86%"
"03.03.2021","653,20","687,70","700,45","652,04","30,21M","-4,84%"
"02.03.2021","686,44","718,01","720,14","685,00","23,73M","-4,45%"
"01.03.2021","718,43","694,00","718,85","685,68","27,14M","6,36%"
"26.02.2021","675,50","700,00","706,70","659,51","41,09M","-0,99%"
"25.02.2021","682,22","723,50","737,00","670,76","39,02M","-8,06%"
"24.02.2021","742,02","711,85","745,00","694,17","36,77M","6,18%"
"23.02.2021","698,84","659,90","713,05","619,73","66,61M","-2,19%"
"22.02.2021","714,50","762,11","768,00","711,30","37,27M","-8,55%"
"19.02.2021","781,30","795,00","796,79","777,37","18,96M","-0,77%"
"18.02.2021","787,38","781,16","794,69","776,50","17,96M","-1,35%"
"17.02.2021","798,15","772,95","799,80","762,91","26,08M","0,24%"
"16.02.2021","796,22","818,30","820,59","792,67","19,80M","-2,44%"
"12.02.2021","816,12","801,26","817,33","785,33","23,77M","0,55%"
"11.02.2021","811,66","810,91","829,76","802,00","21,62M","0,85%"
"10.02.2021","804,82","843,54","844,14","800,66","36,22M","-5,26%"
"09.02.2021","849,46","856,10","859,56","842,00","15,16M","-1,62%"
"08.02.2021","863,42","869,67","876,68","855,00","20,16M","1,31%"
"05.02.2021","852,23","845,00","864,77","838,97","18,57M","0,26%"
"04.02.2021","849,99","855,66","855,66","833,44","15,81M","-0,55%"
"03.02.2021","854,69","876,87","877,55","853,36","18,34M","-2,07%"
