"Data","Ostatnio","otwarcie","Max.","Min.","Zmiana%"
"19.03.2021","3,8734","3,8781","3,8930","3,8656","-0,03%"
"18.03.2021","3,8744","3,8375","3,8867","3,8321","1,04%"
"17.03.2021","3,8344","3,8616","3,8844","3,8340","-0,65%"
"16.03.2021","3,8594","3,8456","3,8675","3,8424","0,40%"
"15.03.2021","3,8441","3,8340","3,8558","3,8268","0,31%"
"12.03.2021","3,8324","3,8253","3,8562","3,8214","0,24%"
"11.03.2021","3,8231","3,8335","3,8435","3,8130","-0,20%"
"10.03.2021","3,8307","3,8379","3,8559","3,8314","-0,13%"
"09.03.2021","3,8357","3,8807","3,8872","3,8342","-1,12%"
"08.03.2021","3,8790","3,8514","3,8846","3,8409","0,86%"
"05.03.2021","3,8459","3,8128","3,8633","3,8085","0,95%"
"04.03.2021","3,8096","3,7685","3,8191","3,7613","1,14%"
"03.03.2021","3,7665","3,7564","3,7788","3,7456","0,33%"
"02.03.2021","3,7542","3,7624","3,7854","3,7528","-0,16%"
"01.03.2021","3,7603","3,7424","3,7690","3,7299","0,56%"
"26.02.2021","3,7392","3,7146","3,7497","3,7064","0,76%"
"25.02.2021","3,7111","3,7034","3,7220","3,6803","0,28%"
"24.02.2021","3,7009","3,7094","3,7342","3,6997","-0,16%"
"23.02.2021","3,7070","3,6986","3,7156","3,6903","0,29%"
"22.02.2021","3,6962","3,7011","3,7196","3,6930","-0,05%"
"19.02.2021","3,6982","3,7125","3,7173","3,6902","-0,32%"
"18.02.2021","3,7102","3,7304","3,7374","3,7103","-0,48%"
"17.02.2021","3,7282","3,7142","3,7439","3,7095","0,45%"
"16.02.2021","3,7115","3,6976","3,7186","3,6844","0,47%"
"15.02.2021","3,6941","3,7106","3,7146","3,6923","-0,33%"
"12.02.2021","3,7062","3,7120","3,7287","3,7066","-0,09%"
"11.02.2021","3,7096","3,7066","3,7193","3,7001","0,15%"
"10.02.2021","3,7041","3,6925","3,7116","3,6818","0,37%"
"09.02.2021","3,6906","3,7148","3,7204","3,6906","-0,58%"
"08.02.2021","3,7121","3,7231","3,7355","3,7091","-0,14%"
"05.02.2021","3,7174","3,7626","3,7676","3,7185","-1,13%"
"04.02.2021","3,7600","3,7283","3,7676","3,7234","0,90%"
"03.02.2021","3,7264","3,7215","3,7441","3,7147","0,20%"
"02.02.2021","3,7190","3,7401","3,7470","3,7185","-0,46%"
"01.02.2021","3,7363","3,7248","3,7438","3,7208","0,40%"
"29.01.2021","3,7215","3,7467","3,7579","3,7183","-0,62%"
"28.01.2021","3,7446","3,7558","3,7731","3,7380","-0,24%"
"27.01.2021","3,7537","3,7380","3,7761","3,7328","0,49%"
"26.01.2021","3,7354","3,7397","3,7566","3,7337","-0,04%"
"25.01.2021","3,7370","3,7301","3,7493","3,7220","0,27%"
"22.01.2021","3,7268","3,7255","3,7371","3,7195","0,16%"
"21.01.2021","3,7208","3,7450","3,7483","3,7213","-0,53%"
"20.01.2021","3,7407","3,7389","3,7536","3,7246","0,11%"
"19.01.2021","3,7367","3,7574","3,7620","3,7323","-0,44%"
"18.01.2021","3,7531","3,7566","3,7748","3,7494","0,01%"
"15.01.2021","3,7528","3,7371","3,7625","3,7331","0,52%"
"14.01.2021","3,7333","3,7340","3,7576","3,7264","0,07%"
"13.01.2021","3,7307","3,7036","3,7392","3,6986","0,81%"
"12.01.2021","3,7008","3,7269","3,7317","3,7013","-0,60%"
"11.01.2021","3,7230","3,6906","3,7343","3,6890","0,93%"
"08.01.2021","3,6886","3,6827","3,7032","3,6725","0,26%"
"07.01.2021","3,6792","3,6714","3,6959","3,6609","0,34%"
"06.01.2021","3,6667","3,6865","3,6936","3,6516","-0,43%"
"05.01.2021","3,6825","3,7183","3,7234","3,6809","-0,88%"
"04.01.2021","3,7151","3,7408","3,7417","3,6887","-0,69%"
"01.01.2021","3,7408","3,7327","3,7420","3,7256","0,37%"
"31.12.2020","3,7271","3,7260","3,7620","3,6997","0,19%"
"30.12.2020","3,7200","3,7036","3,7461","3,6748","0,52%"
"29.12.2020","3,7008","3,6818","3,7282","3,6565","0,62%"
"28.12.2020","3,6781","3,6978","3,7093","3,6614","-0,43%"
"25.12.2020","3,6938","3,6970","3,7057","3,6897","0,06%"
"24.12.2020","3,6915","3,6955","3,7030","3,6835","0,00%"
"23.12.2020","3,6915","3,7057","3,7095","3,6827","-0,30%"
"22.12.2020","3,7025","3,6690","3,7115","3,6670","1,03%"
"21.12.2020","3,6646","3,6497","3,7322","3,6497","0,56%"
"18.12.2020","3,6443","3,6193","3,6874","3,6153","0,79%"
"17.12.2020","3,6159","3,6366","3,6421","3,6161","-0,46%"
"16.12.2020","3,6327","3,6546","3,6641","3,6260","-0,51%"
"15.12.2020","3,6515","3,6548","3,6675","3,6448","0,02%"
"14.12.2020","3,6507","3,6686","3,6846","3,6400","-0,49%"
"11.12.2020","3,6688","3,6472","3,6776","3,6376","0,74%"
"10.12.2020","3,6419","3,6707","3,6727","3,6411","-0,72%"
"09.12.2020","3,6683","3,6758","3,6811","3,6425","-0,13%"
"08.12.2020","3,6730","3,6924","3,7115","3,6718","-0,46%"
"07.12.2020","3,6901","3,6900","3,7113","3,6744","0,16%"
"04.12.2020","3,6842","3,6798","3,6941","3,6702","0,23%"
"03.12.2020","3,6758","3,6941","3,7090","3,6717","-0,40%"
"02.12.2020","3,6907","3,6855","3,7225","3,6792","0,27%"
"01.12.2020","3,6806","3,7562","3,7582","3,6811","-1,93%"
"30.11.2020","3,7532","3,7499","3,7582","3,7258","0,32%"
"27.11.2020","3,7411","3,7563","3,7724","3,7448","-0,33%"
"26.11.2020","3,7535","3,7482","3,7662","3,7390","0,23%"
"25.11.2020","3,7447","3,7521","3,7668","3,7422","-0,12%"
"24.11.2020","3,7491","3,7758","3,7787","3,7494","-0,65%"
"23.11.2020","3,7737","3,7713","3,7949","3,7519","0,21%"
"20.11.2020","3,7659","3,7619","3,7748","3,7547","0,20%"
"19.11.2020","3,7584","3,7682","3,7929","3,7582","-0,20%"
"18.11.2020","3,7659","3,7849","3,7903","3,7565","-0,41%"
"17.11.2020","3,7814","3,7739","3,7957","3,7657","0,29%"
"16.11.2020","3,7703","3,7882","3,7985","3,7627","-0,39%"
"13.11.2020","3,7851","3,8041","3,8138","3,7847","-0,45%"
"12.11.2020","3,8021","3,8068","3,8203","3,7913","-0,04%"
"11.11.2020","3,8036","3,8061","3,8212","3,7954","-0,01%"
"10.11.2020","3,8039","3,7967","3,8254","3,7808","0,21%"
"09.11.2020","3,7959","3,7945","3,8035","3,7468","0,14%"
"06.11.2020","3,7905","3,8289","3,8431","3,7859","-0,92%"
"05.11.2020","3,8257","3,8749","3,8799","3,8038","-1,18%"
"04.11.2020","3,8713","3,8762","3,9555","3,8545","-0,05%"
"03.11.2020","3,8733","3,9527","3,9583","3,8688","-1,95%"
"02.11.2020","3,9505","3,9558","3,9736","3,9446","-0,05%"
"30.10.2020","3,9524","3,9612","3,9711","3,9446","-0,19%"
"29.10.2020","3,9600","3,9447","3,9718","3,9283","0,46%"
"28.10.2020","3,9420","3,8890","3,9564","3,8852","1,40%"
"27.10.2020","3,8876","3,8774","3,8925","3,8656","0,36%"
"26.10.2020","3,8737","3,8518","3,8863","3,8484","0,64%"
"23.10.2020","3,8489","3,8705","3,8901","3,8482","-0,54%"
"22.10.2020","3,8698","3,8525","3,8837","3,8486","0,60%"
"21.10.2020","3,8467","3,8594","3,8800","3,8372","-0,24%"
"20.10.2020","3,8560","3,8879","3,9011","3,8526","-0,70%"
"19.10.2020","3,8830","3,8812","3,8907","3,8717","0,17%"
"16.10.2020","3,8763","3,8882","3,9056","3,8679","-0,20%"
"15.10.2020","3,8841","3,8440","3,9014","3,8365","1,09%"
"14.10.2020","3,8422","3,8270","3,8552","3,8180","0,45%"
"13.10.2020","3,8250","3,7733","3,8338","3,7695","1,48%"
"12.10.2020","3,7691","3,7778","3,8042","3,7702","-0,16%"
"09.10.2020","3,7751","3,8180","3,8223","3,7693","-1,07%"
"08.10.2020","3,8159","3,8114","3,8266","3,7991","0,19%"
"07.10.2020","3,8087","3,8268","3,8318","3,8024","-0,40%"
"06.10.2020","3,8239","3,8152","3,8301","3,7946","0,29%"
"05.10.2020","3,8129","3,8456","3,8473","3,8044","-0,73%"
"02.10.2020","3,8410","3,8154","3,8540","3,8111","0,75%"
"01.10.2020","3,8125","3,8670","3,8694","3,8052","-1,34%"
"30.09.2020","3,8643","3,8549","3,8921","3,8479","0,32%"
"29.09.2020","3,8521","3,9316","3,9417","3,8477","-1,91%"
"28.09.2020","3,9273","3,9139","3,9383","3,8949","0,48%"
"25.09.2020","3,9085","3,9019","3,9254","3,8903","0,20%"
"24.09.2020","3,9007","3,8731","3,9218","3,8623","0,77%"
"23.09.2020","3,8708","3,8342","3,8777","3,8263","1,09%"
"22.09.2020","3,8290","3,8180","3,8526","3,8087","0,33%"
"21.09.2020","3,8163","3,7675","3,8356","3,7517","1,40%"
"18.09.2020","3,7636","3,7592","3,7717","3,7474","0,20%"
"17.09.2020","3,7560","3,7662","3,7943","3,7557","-0,22%"
"16.09.2020","3,7643","3,7611","3,7748","3,7420","0,15%"
"15.09.2020","3,7588","3,7483","3,7646","3,7292","0,37%"
"14.09.2020","3,7450","3,7538","3,7627","3,7408","-0,15%"
"11.09.2020","3,7505","3,7689","3,7725","3,7453","-0,45%"
"10.09.2020","3,7675","3,7637","3,7786","3,7327","0,15%"
"09.09.2020","3,7620","3,7835","3,7924","3,7550","-0,47%"
"08.09.2020","3,7797","3,7550","3,7891","3,7473","0,77%"
"07.09.2020","3,7510","3,7640","3,7778","3,7485","-0,26%"
"04.09.2020","3,7608","3,7448","3,7945","3,7391","0,52%"
"03.09.2020","3,7415","3,7218","3,7621","3,7194","0,60%"
"02.09.2020","3,7190","3,6844","3,7390","3,6780","0,97%"
"01.09.2020","3,6831","3,6841","3,6904","3,6558","0,04%"
"31.08.2020","3,6815","3,6860","3,6999","3,6649","-0,06%"
"28.08.2020","3,6837","3,7315","3,7374","3,6810","-1,18%"
